Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,13
design__inferred_latch__count,0
design__instance__count,1647
design__instance__area,10517.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,13
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003927676589228213
power__switching__total,0.00013378665607888252
power__leakage__total,1.498751522888142E-8
power__total,0.0005265692598186433
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26114980361819473
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26133210224399395
timing__hold__ws__corner:nom_tt_025C_1v80,0.32092096555211
timing__setup__ws__corner:nom_tt_025C_1v80,18.084343423521563
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320921
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,21.164576
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,13
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2648835947779104
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2650652827810288
timing__hold__ws__corner:nom_ss_100C_1v60,0.8577556685491239
timing__setup__ws__corner:nom_ss_100C_1v60,16.53004535594251
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.857756
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,16.530045
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,13
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2588250798056088
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25900754496486644
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11966578067166052
timing__setup__ws__corner:nom_ff_n40C_1v95,18.643654259220874
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.119666
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,22.511639
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,13
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25776301267463947
clock__skew__worst_setup,0.2578701769551222
timing__hold__ws,0.11479650888139586
timing__setup__ws,16.36457415895885
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114797
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.364574
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 215.0 215.0
design__core__bbox,5.52 10.88 209.3 204.0
design__io,259
design__die__area,46225
design__core__area,39354
design__instance__count__stdcell,1647
design__instance__area__stdcell,10517.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.267256
design__instance__utilization__stdcell,0.267256
design__instance__count__class:buffer,64
design__instance__count__class:inverter,1
design__instance__count__class:sequential_cell,161
design__instance__count__class:multi_input_combinational_cell,408
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,3057
design__instance__count__class:tap_cell,547
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,257
design__io__hpwl,24521564
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,30393.1
design__violations,0
design__instance__count__class:timing_repair_buffer,435
design__instance__count__class:clock_buffer,21
design__instance__count__class:clock_inverter,10
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,114
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1215
route__net__special,2
route__drc_errors__iter:1,405
route__wirelength__iter:1,33379
route__drc_errors__iter:2,165
route__wirelength__iter:2,33151
route__drc_errors__iter:3,126
route__wirelength__iter:3,33062
route__drc_errors__iter:4,3
route__wirelength__iter:4,33052
route__drc_errors__iter:5,0
route__wirelength__iter:5,33051
route__drc_errors,0
route__wirelength,33051
route__vias,7103
route__vias__singlecut,7103
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,520.675
timing__unannotated_net__count__corner:nom_tt_025C_1v80,15
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,15
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,15
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,13
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25977296049526605
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2598799859978668
timing__hold__ws__corner:min_tt_025C_1v80,0.3142884930154202
timing__setup__ws__corner:min_tt_025C_1v80,18.122996949440108
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
