Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,13
design__inferred_latch__count,0
design__instance__count,513
design__instance__area,4151.48
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00021413943613879383
power__switching__total,0.00005323756704456173
power__leakage__total,5.76872860591493E-9
power__total,0.0002673827693797648
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2588954679473608
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2585112197476707
timing__hold__ws__corner:nom_tt_025C_1v80,0.2960212714296642
timing__setup__ws__corner:nom_tt_025C_1v80,18.398531219305802
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.296021
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,21.386209
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26448929905956337
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2641237581183673
timing__hold__ws__corner:nom_ss_100C_1v60,0.811896128863146
timing__setup__ws__corner:nom_ss_100C_1v60,17.260596995803024
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.811896
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,17.590023
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25710306833456215
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25671185348519554
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11038231752179563
timing__setup__ws__corner:nom_ff_n40C_1v95,18.85913167900476
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110382
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,22.652777
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2562846396532374
clock__skew__worst_setup,0.2560177420305691
timing__hold__ws,0.10818973800845301
timing__setup__ws,17.209510748013894
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108190
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,17.482269
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 91.345 102.065
design__core__bbox,5.52 10.88 85.56 89.76
design__io,67
design__die__area,9323.13
design__core__area,6313.56
design__instance__count__stdcell,513
design__instance__area__stdcell,4151.48
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.657551
design__instance__utilization__stdcell,0.657551
design__instance__count__class:buffer,16
design__instance__count__class:inverter,1
design__instance__count__class:sequential_cell,65
design__instance__count__class:multi_input_combinational_cell,171
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,418
design__instance__count__class:tap_cell,93
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,65
design__io__hpwl,2412595
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,6783.29
design__violations,0
design__instance__count__class:timing_repair_buffer,151
design__instance__count__class:clock_buffer,11
design__instance__count__class:clock_inverter,5
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,70
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,446
route__net__special,2
route__drc_errors__iter:1,162
route__wirelength__iter:1,7362
route__drc_errors__iter:2,36
route__wirelength__iter:2,7320
route__drc_errors__iter:3,37
route__wirelength__iter:3,7247
route__drc_errors__iter:4,0
route__wirelength__iter:4,7257
route__drc_errors,0
route__wirelength,7257
route__vias,2570
route__vias__singlecut,2570
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,135.52
timing__unannotated_net__count__corner:nom_tt_025C_1v80,8
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,8
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,8
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25789968113283607
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2576378072694963
timing__hold__ws__corner:min_tt_025C_1v80,0.2927557723549796
timing__setup__ws__corner:min_tt_025C_1v80,18.424553071382125
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.292756
